,AGE,EDUCATION_LEVEL,MARITAL_STATUS,NO_OF_KIDS,OCCUPATION_CATEGORY,INCOME,RISK_LEVEL,SPENDING_VS_INCOME,SPENDING_LEVEL,NETWORTH,RISK_TOLERANCE
142,67,Masters/phd,married,0,Senior_level,1064976.3053,3,spends_less,3,14919855.323,0.7911171342979357
143,67,Masters/phd,married,0,Senior_level,1064976.3053,3,spends_less,3,14754159.7,0.7938258200289702
144,67,Masters/phd,married,0,Senior_level,1064976.3053,3,spends_less,3,15117654.474,0.7880193893834073
145,52,Masters/phd,married,0,Junior_level,822161.70769,4,spends_less,5,11011509.798,5.746768402473405
146,52,Masters/phd,married,0,Junior_level,822161.70769,4,spends_less,5,11000118.223,5.746768402473405
147,52,Masters/phd,married,0,Junior_level,822161.70769,4,spends_less,5,11011509.798,5.746768402473405
148,52,Masters/phd,married,0,Junior_level,822161.70769,4,spends_less,5,10990797.845,5.746768402473405
149,52,Masters/phd,married,0,Junior_level,822161.70769,4,spends_less,5,11023936.969,5.746768402473405
150,85,Masters/phd,single,0,mid_level,4323803.7995,4,spends_less,2,70291190.398,0.4781906341930517
151,85,Masters/phd,single,0,mid_level,4164057.3537,4,spends_less,2,51821306.336,0.4680765838134784
152,85,Masters/phd,single,0,mid_level,4281204.7473,4,spends_less,2,69119929.458,0.4753471263803775
153,85,Masters/phd,single,0,mid_level,4206656.4059,4,spends_less,2,86608066.95,0.4559073604203204
154,85,Masters/phd,single,0,mid_level,4206656.4059,4,spends_less,2,64121099.608,0.4685141920342406
155,67,Masters/phd,married,0,mid_level,191695.73495,4,spends_averagely,1,3496177.6617,0.8774214963378435
156,67,Masters/phd,married,0,mid_level,203410.47431,4,spends_averagely,1,3268346.179,0.8326675442517169
157,67,Masters/phd,married,0,mid_level,211930.28475,4,spends_averagely,1,3755077.0738,0.8195609370920565
158,54,Masters/phd,married,1,Senior_level,153356.58796,3,spends_less,5,1219623.3508,15.776085651364088
159,54,Masters/phd,married,1,Senior_level,151226.63535,3,spends_less,5,1220141.1496,15.641248289931085
160,54,Masters/phd,married,1,Senior_level,153356.58796,3,spends_less,5,1220451.8289,15.687586461628
161,54,Masters/phd,married,1,Senior_level,154421.56427,3,spends_less,5,1219209.1117,15.791469794337518
162,54,Masters/phd,married,1,Senior_level,154421.56427,3,spends_less,5,1219001.9922,15.857642371727144
163,42,Masters/phd,married,0,mid_level,124602.22772,3,spends_less,5,300426.87786,18.24284353711372
164,42,Masters/phd,married,0,mid_level,124602.22772,3,spends_less,5,299598.39974,18.24284353711372
165,42,Masters/phd,married,0,mid_level,124602.22772,3,spends_less,5,301669.59504,18.24284353711372
166,42,Masters/phd,married,0,mid_level,124602.22772,3,spends_less,5,303533.6708,18.24284353711372
167,42,Masters/phd,married,0,mid_level,124602.22772,3,spends_less,5,301876.71457,18.24284353711372
168,39,Masters/phd,married,3,mid_level,6262060.6751,2,spends_less,4,72361350.098,8.267562138082297
169,39,Masters/phd,married,3,mid_level,6325959.2534,2,spends_less,4,72239149.575,8.559033392133188
170,57,Masters/phd,married,0,mid_level,271568.95785,3,spends_less,2,2241240.4311,2.9315452404627087
171,57,Masters/phd,married,0,mid_level,272633.93416,3,spends_less,2,2258120.6728,2.9368117235806634
172,57,Masters/phd,married,0,mid_level,271568.95785,3,spends_less,2,2292606.0745,2.9315452404627087
173,57,Masters/phd,married,0,mid_level,271568.95785,3,spends_less,2,2286703.1679,2.9315452404627087
174,57,Masters/phd,married,0,mid_level,271568.95785,3,spends_less,2,2246211.2998,2.9315452404627087
175,80,Masters/phd,single,0,Junior_level,1118225.1206,3,spends_less,3,8708651.3063,0.4601969999999495
176,80,Masters/phd,single,0,Junior_level,1118225.1206,3,spends_less,3,8708547.7466,0.4601879999999374
177,80,Masters/phd,single,0,Junior_level,1118225.1206,3,spends_less,3,8708651.3063,0.4601969999999495
178,80,Masters/phd,single,0,Junior_level,1118225.1206,3,spends_less,3,8709686.904,0.4601969999999495
179,80,Masters/phd,single,0,Junior_level,1118225.1206,3,spends_less,3,8708651.3063,0.4601969999999495
180,44,high_school,married,1,Senior_level,108627.58314,3,spends_less,4,244401.04507,21.27937565919961
181,44,high_school,married,1,Senior_level,108627.58314,3,spends_less,4,246472.24037,20.94512770269305
182,56,Masters/phd,single,0,mid_level,415340.75906,3,spends_less,3,2986249.3795,3.417855234501072
183,56,Masters/phd,single,0,mid_level,342922.3703,3,spends_less,3,1832593.599,3.798045220801471
184,56,Masters/phd,single,0,mid_level,374871.65946,3,spends_less,3,2403207.9033,3.7578825973176304
185,45,Bachelors/degree,married,2,Senior_level,127797.15664,2,spends_more,4,188996.57087,26.573970541830093
186,45,Bachelors/degree,married,2,Senior_level,127797.15664,2,spends_more,4,210744.12149,26.573970541830093
187,45,Bachelors/degree,married,2,Senior_level,127797.15664,2,spends_more,4,206601.73089,26.573970541830093
188,45,Bachelors/degree,married,2,Senior_level,127797.15664,2,spends_more,4,185889.77792,26.573970541830093
189,45,Bachelors/degree,married,2,Senior_level,127797.15664,2,spends_more,4,195210.15676,26.573970541830093
190,50,Masters/phd,married,3,Senior_level,263049.14741,2,spends_less,1,687947.51796,15.816248048996904
191,50,Masters/phd,married,3,Senior_level,263049.14741,2,spends_less,1,688983.11561,15.816248048996904
192,50,Masters/phd,married,3,Senior_level,263049.14741,2,spends_less,1,687843.9582,15.8134288291964
193,50,Masters/phd,married,3,Senior_level,263049.14741,2,spends_less,1,687843.9582,15.817658558886658
194,50,Masters/phd,married,3,Senior_level,263049.14741,2,spends_less,1,690018.71326,15.8134288291964
195,58,high_school,married,0,mid_level,112887.48836,2,spends_averagely,1,2780579.6865,1.2212375889468956
196,58,high_school,married,0,mid_level,111822.51206,2,spends_averagely,1,2755725.3429,1.2171467908127227
197,58,high_school,married,0,mid_level,116082.41728,2,spends_averagely,1,2760903.3312,1.2387836097445792
198,58,high_school,married,0,mid_level,111822.51206,2,spends_averagely,1,2772294.9053,1.2171467908127227
199,58,high_school,married,0,mid_level,116082.41728,2,spends_averagely,1,2773330.5029,1.2335111068297753
200,65,Bachelors/degree,married,0,Senior_level,56443.744181,3,spends_averagely,5,539857.05421,1.0994319800085168
201,65,Bachelors/degree,married,0,Senior_level,35144.218075,3,spends_averagely,5,548556.07446,0.9909634202902124
202,65,Bachelors/degree,married,0,Senior_level,58573.696791,3,spends_averagely,5,539028.57609,1.10423398557442
203,65,Bachelors/degree,married,0,Senior_level,46858.957433,3,spends_averagely,5,1155830.5356,1.0438396218075812
204,27,Masters/phd,married,1,Senior_level,69223.459844,4,spends_less,2,129967.5049,38.87265127435617
205,27,Masters/phd,married,1,Senior_level,69223.459844,4,spends_less,2,136698.88961,38.87265127435617
206,27,Masters/phd,married,1,Senior_level,69223.459844,4,spends_less,2,133074.29784,39.23768994133559
207,27,Masters/phd,married,1,Senior_level,69223.459844,4,spends_less,2,140841.28021,39.60272863647521
208,27,Masters/phd,married,1,Senior_level,69223.459844,4,spends_less,2,134109.89549,39.23768994133559
209,37,Bachelors/degree,married,0,Senior_level,59638.673096,3,spends_less,4,199766.78641,23.529363600273864
210,37,Bachelors/degree,married,0,Senior_level,59638.673096,3,spends_less,4,194588.79817,23.555173930551348
211,56,Masters/phd,married,0,Senior_level,155486.54057,3,spends_less,4,108012.83475,6.5197794344956925
212,56,Masters/phd,married,0,Senior_level,155486.54057,3,spends_less,4,106977.2371,6.5197794344956925
213,56,Masters/phd,married,0,Senior_level,155486.54057,3,spends_less,4,109048.4324,6.5197794344956925
214,56,Masters/phd,married,0,Senior_level,156551.51688,3,spends_less,4,101799.24886,6.538586089540481
215,56,Masters/phd,married,0,Senior_level,155486.54057,3,spends_less,4,105527.40039,6.5197794344956925
216,57,Bachelors/degree,single,1,mid_level,99042.796392,2,spends_averagely,5,388659.79752,7.120998817571474
217,57,Bachelors/degree,single,1,mid_level,90522.98595,2,spends_averagely,5,387002.84128,6.7755542205511965
218,57,Bachelors/degree,single,1,mid_level,95847.867476,2,spends_averagely,5,388556.23775,6.958593602215632
219,57,Bachelors/degree,single,1,mid_level,87328.057034,2,spends_averagely,5,389695.39517,6.665731838398253
220,57,Bachelors/degree,single,1,mid_level,85198.104423,2,spends_averagely,5,388349.11822,6.645097988378844
221,59,Masters/phd,married,0,Senior_level,100107.7727,2,spends_less,4,779390.79033,3.0006807000298306
222,59,Masters/phd,married,0,Senior_level,100107.7727,2,spends_less,4,781461.98563,3.0006807000298306
223,59,Masters/phd,married,0,Senior_level,100107.7727,2,spends_less,4,792853.55976,3.0006807000298306
224,59,Masters/phd,married,0,Senior_level,100107.7727,2,spends_less,4,794924.75506,3.0006807000298306
225,59,Masters/phd,married,0,Senior_level,100107.7727,2,spends_less,4,787675.57152,3.0006807000298306
226,46,Masters/phd,married,0,Senior_level,234294.78716,2,spends_less,5,383564.65709,16.55225549480896
227,45,Masters/phd,single,1,Senior_level,160811.4221,3,spends_less,2,735274.3305,11.260326909176666
228,45,Masters/phd,single,1,Senior_level,178916.01929,3,spends_less,2,644866.65578,11.834347571642107
229,88,Masters/phd,single,0,Junior_level,37274.170685,3,spends_less,5,947571.84847,4.981339285714286
230,88,Masters/phd,single,0,Junior_level,37274.170685,3,spends_less,5,947571.84847,4.891339285714286
231,88,Masters/phd,single,0,Junior_level,37274.170685,3,spends_less,5,947571.84847,4.688839285714286
232,56,Masters/phd,married,1,mid_level,113952.46467,2,spends_more,5,759610.87524,2.242252691734909
233,56,Masters/phd,married,1,mid_level,112887.48836,2,spends_more,5,760646.47289,2.2337939751033487
