iter	Passed	Remaining
169	407	1990
170	409	1983
171	411	1978
172	412	1970
173	413	1963
174	414	1956
175	416	1952
176	418	1944
177	421	1946
178	423	1942
179	426	1940
180	427	1936
181	430	1935
182	432	1930
183	437	1940
184	491	2165
185	496	2174
186	499	2170
187	506	2188
188	523	2245
189	528	2251
190	531	2250
191	555	2336
192	560	2344
193	570	2370
194	590	2436
195	592	2431
196	594	2423
197	602	2439
198	606	2440
199	607	2430
200	608	2420
201	610	2410
202	617	2425
203	622	2429
204	625	2426
205	630	2429
206	637	2443
207	656	2499
208	670	2537
209	675	2540
210	688	2574
211	702	2609
212	709	2620
213	716	2632
214	721	2632
215	722	2624
216	725	2616
217	731	2622
218	733	2615
219	736	2612
220	738	2604
221	741	2597
222	745	2598
223	748	2592
224	751	2586
225	753	2579
226	756	2575
227	760	2574
228	762	2566
229	764	2560
230	767	2553
231	775	2568
232	778	2563
233	781	2558
234	783	2551
235	785	2543
236	787	2534
237	791	2532
238	793	2525
239	795	2517
240	796	2509
241	798	2501
242	800	2493
243	802	2487
244	807	2487
245	810	2484
246	812	2478
247	815	2473
248	818	2467
249	821	2465
250	824	2460
251	828	2458
252	831	2455
253	837	2460
254	840	2455
255	842	2449
256	845	2444
257	847	2436
258	849	2430
259	853	2428
260	855	2423
261	857	2415
262	859	2408
263	862	2404
264	864	2397
265	866	2391
266	870	2390
267	872	2384
268	874	2377
269	877	2371
270	878	2364
271	880	2356
272	882	2348
273	886	2349
274	888	2343
275	891	2339
276	893	2331
277	894	2323
278	896	2316
279	897	2308
280	901	2306
281	903	2301
282	906	2296
283	907	2288
284	909	2281
285	910	2273
286	912	2266
287	916	2266
288	921	2267
289	924	2264
290	932	2272
291	935	2268
292	938	2264
293	940	2259
294	944	2256
295	949	2257
296	951	2252
297	954	2248
298	957	2244
299	959	2238
300	963	2237
301	965	2230
302	967	2225
303	969	2220
304	971	2213
305	977	2217
306	981	2214
307	983	2209
308	984	2202
309	986	2196
310	988	2189
311	992	2188
312	994	2181
313	995	2174
314	997	2168
315	998	2162
316	1000	2155
317	1002	2149
318	1003	2142
319	1008	2142
320	1009	2135
321	1010	2128
322	1012	2122
323	1014	2115
324	1015	2109
325	1017	2102
326	1018	2096
327	1022	2094
328	1023	2088
329	1025	2081
330	1026	2075
331	1028	2069
332	1030	2063
333	1032	2058
334	1034	2053
335	1035	2047
336	1038	2042
337	1040	2037
338	1041	2031
339	1044	2027
340	1045	2021
341	1047	2015
342	1049	2009
343	1051	2005
344	1053	1999
345	1054	1994
346	1056	1988
347	1057	1982
348	1059	1976
349	1060	1970
350	1062	1964
351	1064	1959
352	1068	1958
353	1070	1953
354	1071	1947
355	1073	1941
356	1075	1936
357	1076	1930
358	1077	1923
359	1078	1917
360	1080	1911
361	1083	1910
362	1085	1904
363	1086	1899
364	1088	1893
365	1089	1887
366	1090	1881
367	1091	1875
368	1093	1869
369	1094	1863
370	1095	1857
371	1099	1856
372	1101	1850
373	1102	1846
374	1104	1841
375	1106	1836
376	1107	1830
377	1109	1825
378	1110	1819
379	1111	1814
380	1115	1812
381	1117	1808
382	1119	1802
383	1120	1797
384	1121	1792
385	1123	1786
386	1124	1781
387	1125	1775
388	1127	1770
389	1131	1769
390	1137	1771
391	1138	1766
392	1140	1760
393	1141	1755
394	1142	1750
395	1153	1759
396	1155	1755
397	1157	1751
398	1170	1763
399	1184	1776
400	1187	1774
401	1194	1777
402	1200	1777
403	1202	1773
404	1208	1775
405	1212	1774
406	1215	1770
407	1217	1766
408	1218	1761
409	1220	1755
410	1223	1752
411	1224	1747
412	1226	1742
413	1229	1739
414	1230	1735
415	1240	1741
416	1243	1738
417	1245	1733
418	1260	1748
419	1271	1756
420	1294	1780
421	1304	1786
422	1310	1787
423	1319	1793
424	1378	1865
425	1401	1888
426	1406	1887
427	1411	1886
428	1413	1881
429	1416	1877
430	1417	1871
431	1426	1876
432	1434	1878
433	1441	1880
434	1445	1877
435	1448	1873
436	1461	1883
437	1464	1879
438	1466	1874
439	1473	1874
440	1477	1872
441	1480	1869
442	1484	1866
443	1488	1864
444	1490	1858
445	1491	1852
446	1493	1847
447	1495	1842
448	1497	1837
449	1503	1837
450	1506	1834
451	1511	1832
452	1514	1828
453	1524	1833
454	1527	1830
455	1533	1829
456	1539	1828
457	1541	1824
458	1545	1821
459	1549	1819
460	1551	1814
461	1553	1809
462	1556	1805
463	1558	1800
464	1560	1795
465	1563	1792
466	1565	1786
467	1569	1784
468	1572	1780
469	1574	1775
470	1582	1777
471	1586	1774
472	1588	1770
473	1591	1765
474	1599	1767
475	1604	1766
476	1606	1761
477	1611	1760
478	1615	1756
479	1616	1751
480	1618	1746
481	1620	1741
482	1622	1737
483	1630	1738
484	1636	1737
485	1638	1733
486	1646	1734
487	1650	1731
488	1662	1737
489	1667	1735
490	1669	1730
491	1671	1726
492	1675	1723
493	1678	1718
494	1679	1713
495	1681	1708
496	1683	1704
497	1691	1704
498	1694	1700
499	1696	1696
500	1697	1691
501	1699	1685
502	1703	1683
503	1706	1679
504	1707	1673
505	1709	1669
506	1712	1665
507	1715	1661
508	1721	1660
509	1724	1656
510	1728	1654
511	1730	1649
512	1737	1649
513	1741	1646
514	1742	1641
515	1745	1637
516	1753	1637
517	1755	1633
518	1758	1630
519	1760	1625
520	1762	1620
521	1768	1619
522	1770	1615
523	1773	1611
524	1775	1606
525	1778	1602
526	1783	1601
527	1788	1598
528	1790	1594
529	1792	1589
530	1794	1584
531	1803	1586
532	1806	1582
533	1809	1578
534	1810	1573
535	1817	1573
536	1819	1568
537	1820	1563
538	1822	1559
539	1824	1554
540	1826	1549
541	1833	1549
542	1835	1544
543	1836	1539
544	1838	1535
545	1841	1531
546	1843	1526
547	1850	1526
548	1852	1521
549	1854	1517
550	1856	1512
551	1858	1508
552	1862	1505
553	1865	1501
554	1866	1496
555	1868	1491
556	1870	1487
557	1872	1483
558	1874	1478
559	1880	1477
560	1881	1472
561	1884	1468
562	1886	1464
563	1895	1465
564	1898	1461
565	1900	1457
566	1902	1452
567	1903	1447
568	1913	1449
569	1916	1445
570	1917	1440
571	1926	1441
572	1932	1439
573	1933	1435
574	1942	1436
575	1947	1433
576	1950	1429
577	1959	1430
578	1962	1427
579	1964	1422
580	1966	1417
581	1967	1413
582	1972	1410
583	1973	1406
584	1975	1401
585	1976	1396
586	1977	1391
587	1978	1386
588	1980	1381
589	1982	1377
590	1989	1376
591	1990	1371
592	1992	1367
593	1993	1362
594	1994	1357
595	1996	1353
596	1997	1348
597	2000	1344
598	2002	1340
599	2004	1336
600	2006	1331
601	2008	1327
602	2009	1323
603	2010	1318
604	2012	1313
605	2013	1309
606	2018	1306
607	2019	1302
608	2020	1297
609	2022	1292
610	2023	1288
611	2024	1283
612	2026	1279
613	2027	1274
614	2028	1270
615	2030	1265
616	2032	1261
617	2033	1256
618	2034	1252
619	2036	1247
620	2037	1243
621	2038	1238
622	2039	1234
623	2041	1229
624	2042	1225
625	2044	1221
626	2045	1217
627	2047	1212
628	2048	1208
629	2049	1203
630	2050	1199
631	2052	1194
632	2053	1190
633	2054	1186
634	2056	1181
635	2057	1177
636	2061	1174
637	2062	1170
638	2063	1165
639	2065	1161
640	2066	1157
641	2068	1153
642	2069	1148
643	2070	1144
644	2071	1140
645	2073	1136
646	2077	1133
647	2079	1129
648	2080	1125
649	2081	1121
650	2083	1116
651	2084	1112
652	2085	1108
653	2087	1104
654	2088	1099
655	2092	1097
656	2093	1093
657	2095	1089
658	2097	1085
659	2099	1081
660	2100	1077
661	2101	1072
662	2102	1068
663	2104	1064
664	2107	1061
665	2109	1057
666	2110	1053
667	2112	1049
668	2113	1045
669	2115	1041
670	2116	1037
671	2117	1033
672	2118	1029
673	2120	1025
674	2124	1022
675	2126	1019
676	2128	1015
677	2132	1012
678	2134	1009
679	2136	1005
680	2141	1002
681	2142	999
682	2144	995
683	2146	991
684	2148	987
685	2149	984
686	2151	980
687	2156	977
688	2157	974
689	2159	970
690	2161	966
691	2162	962
692	2164	958
693	2166	955
694	2170	952
695	2172	948
696	2175	945
697	2177	942
698	2179	938
699	2180	934
700	2182	930
701	2187	928
702	2190	925
703	2193	922
704	2195	918
705	2196	914
706	2198	911
707	2202	908
708	2204	904
709	2205	900
710	2207	897
711	2209	893
712	2211	889
713	2212	886
714	2214	882
715	2219	880
716	2220	876
717	2222	872
718	2224	869
719	2226	865
720	2227	862
721	2229	858
722	2230	854
723	2232	851
724	2234	847
725	2236	844
726	2237	840
727	2239	836
728	2240	833
729	2242	829
730	2243	825
731	2248	823
732	2249	819
733	2250	815
734	2252	812
735	2254	808
736	2255	804
737	2257	801
738	2258	797
739	2263	795
740	2265	791
741	2266	788
742	2268	784
743	2269	780
744	2271	777
745	2272	773
746	2274	770
747	2277	767
748	2279	763
749	2282	760
750	2285	757
751	2287	754
752	2288	750
753	2290	747
754	2291	743
755	2293	740
756	2294	736
757	2296	733
758	2297	729
759	2299	726
760	2300	722
761	2302	719
762	2307	716
763	2308	713
764	2315	711
765	2323	709
766	2324	706
767	2325	702
768	2327	699
769	2328	695
770	2329	692
771	2331	688
772	2332	684
773	2333	681
774	2340	679
775	2342	676
776	2344	672
777	2347	669
778	2348	666
779	2349	662
780	2353	659
781	2354	656
782	2355	652
783	2357	649
784	2358	645
785	2359	642
786	2361	639
787	2362	635
788	2363	632
789	2365	628
790	2366	625
791	2369	622
792	2371	618
793	2373	615
794	2375	612
795	2376	609
796	2377	605
797	2378	602
798	2380	598
799	2381	595
800	2385	592
801	2386	589
802	2387	585
803	2389	582
804	2390	579
805	2391	575
806	2393	572
807	2394	568
808	2395	565
809	2397	562
810	2400	559
811	2402	556
812	2403	552
813	2404	549
814	2405	546
815	2407	542
816	2408	539
817	2409	536
818	2411	532
819	2412	529
820	2416	526
821	2417	523
822	2419	520
823	2420	516
824	2421	513
825	2423	510
826	2424	507
827	2425	503
828	2427	500
829	2428	497
830	2432	494
831	2433	491
832	2434	488
833	2435	484
834	2437	481
835	2438	478
836	2439	475
837	2441	471
838	2442	468
839	2443	465
840	2447	462
841	2448	459
842	2450	456
843	2451	453
844	2453	450
845	2454	446
846	2456	443
847	2457	440
848	2458	437
849	2461	434
850	2463	431
851	2465	428
852	2467	425
853	2468	422
854	2470	418
855	2471	415
856	2472	412
857	2473	409
858	2474	406
859	2478	403
860	2480	400
861	2481	397
862	2482	394
863	2484	391
864	2485	387
865	2486	384
866	2488	381
867	2489	378
868	2490	375
869	2494	372
870	2496	369
871	2497	366
872	2498	363
873	2499	360
874	2502	357
875	2503	354
876	2505	351
877	2509	348
878	2511	345
879	2512	342
880	2514	339
881	2515	336
882	2517	333
883	2518	330
884	2520	327
885	2521	324
886	2526	321
887	2527	318
888	2529	315
889	2530	312
890	2532	309
891	2534	306
892	2537	304
893	2543	301
894	2545	298
895	2546	295
896	2549	292
897	2550	289
898	2552	286
899	2554	283
900	2559	281
901	2562	278
902	2564	275
903	2565	272
904	2567	269
905	2568	266
906	2572	263
907	2575	260
908	2576	257
909	2577	254
910	2579	252
911	2580	249
912	2581	246
913	2583	243
914	2584	240
915	2588	237
916	2589	234
917	2591	231
918	2592	228
919	2594	225
920	2595	222
921	2596	219
922	2597	216
923	2599	213
924	2600	210
925	2603	208
926	2605	205
927	2606	202
928	2607	199
929	2609	196
930	2610	193
931	2612	190
932	2613	187
933	2614	184
934	2615	181
935	2619	179
936	2620	176
937	2622	173
938	2623	170
939	2624	167
940	2626	164
941	2627	161
942	2628	158
943	2630	156
944	2631	153
945	2634	150
946	2636	147
947	2637	144
948	2639	141
949	2640	138
950	2644	136
951	2646	133
952	2647	130
953	2650	127
954	2652	124
955	2654	122
956	2656	119
957	2657	116
958	2658	113
959	2660	110
960	2661	108
961	2662	105
962	2666	102
963	2667	99
964	2668	96
965	2670	93
966	2671	91
967	2672	88
968	2674	85
969	2675	82
970	2676	79
971	2677	77
972	2681	74
973	2683	71
974	2684	68
975	2685	66
976	2687	63
977	2688	60
978	2689	57
979	2690	54
980	2692	52
981	2693	49
982	2694	46
983	2696	43
984	2697	41
985	2698	38
986	2700	35
987	2701	32
988	2702	30
989	2704	27
990	2705	24
991	2706	21
992	2707	19
993	2711	16
994	2713	13
995	2714	10
996	2715	8
997	2717	5
998	2718	2
999	2719	0
