iter	RMSE
311	4.141733543
312	4.138801959
313	4.131979697
314	4.128339693
315	4.122043362
316	4.117303496
317	4.108415813
318	4.102965313
319	4.089168873
320	4.084742526
321	4.078079252
322	4.075238218
323	4.070734578
324	4.063737901
325	4.055736647
326	4.051363993
327	4.03954499
328	4.029210475
329	4.023038698
330	4.017870072
331	4.010810939
332	4.004342791
333	3.998571151
334	3.992994398
335	3.989639645
336	3.984161193
337	3.980751612
338	3.974984981
339	3.969652015
340	3.963957082
341	3.962084436
342	3.956355964
343	3.952711406
344	3.946726939
345	3.937289765
346	3.930087263
347	3.924452339
348	3.915019696
349	3.909734496
350	3.904611234
351	3.897675212
352	3.891324779
353	3.882506597
354	3.877756742
355	3.872113485
356	3.868152579
357	3.86436369
358	3.85451967
359	3.851677918
360	3.847789792
361	3.841625595
362	3.834957455
363	3.831587568
364	3.824486528
365	3.818971764
366	3.810540875
367	3.804058738
368	3.799640183
369	3.792085773
370	3.788039618
371	3.783944403
372	3.782444986
373	3.777403748
374	3.774095675
375	3.770308777
376	3.76744705
377	3.758383538
378	3.756088448
379	3.751849597
380	3.743143103
381	3.738450901
382	3.735387127
383	3.733101438
384	3.724953918
385	3.715765925
386	3.710258353
387	3.706849239
388	3.703439327
389	3.695157908
390	3.692008189
391	3.686701493
392	3.679305883
393	3.676256461
394	3.670147349
395	3.667690776
396	3.664061967
397	3.659748328
398	3.656938391
399	3.65017023
400	3.64473317
401	3.639147576
402	3.636214251
403	3.628709015
404	3.623644946
405	3.61723735
406	3.613009861
407	3.609166937
408	3.606307418
409	3.602120073
410	3.599882476
411	3.594900263
412	3.59069442
413	3.585171798
414	3.581178234
415	3.574759537
416	3.571901463
417	3.569421712
418	3.563526007
419	3.559027062
420	3.554302194
421	3.550543156
422	3.544444398
423	3.537850721
424	3.531574402
425	3.527006511
426	3.521792317
427	3.515360894
428	3.51255526
429	3.509117525
430	3.504338514
431	3.498782341
432	3.495259396
433	3.487100706
434	3.481089948
435	3.475417647
436	3.470700249
437	3.463316406
438	3.457757004
439	3.45575219
440	3.450616726
441	3.446744219
442	3.444650888
443	3.44231678
444	3.435946932
445	3.431270954
446	3.42707981
447	3.422293688
448	3.416992069
449	3.412198619
450	3.407850799
451	3.405547033
452	3.401781213
453	3.399726625
454	3.390456372
455	3.384977649
456	3.377403836
457	3.37197945
458	3.369983189
459	3.364125161
460	3.357454067
461	3.352022718
462	3.346056842
463	3.343923911
464	3.338392919
465	3.33616729
466	3.331239446
467	3.329233443
468	3.324854773
469	3.319627533
470	3.317545097
471	3.313676144
472	3.309160338
473	3.305312617
474	3.299725892
475	3.294419142
476	3.291255263
477	3.286031331
478	3.281150909
479	3.277684977
480	3.272427202
481	3.271124561
482	3.267859044
483	3.264973379
484	3.262733145
485	3.257069271
486	3.254054644
487	3.252371868
488	3.247445875
489	3.240886194
490	3.238940925
491	3.233812312
492	3.232701675
493	3.227044043
494	3.224728846
495	3.219911262
496	3.217942412
497	3.213351007
498	3.209288932
499	3.205159843
500	3.199078859
501	3.193611398
502	3.187892562
503	3.186437284
504	3.184662889
505	3.17936287
506	3.17491759
507	3.171377268
508	3.170399723
509	3.166384653
510	3.160751674
511	3.157496971
512	3.155843516
513	3.15072503
514	3.149196422
515	3.147287085
516	3.143266149
517	3.139924348
518	3.133172532
519	3.130991398
520	3.12823394
521	3.125192068
522	3.117235095
523	3.114772148
524	3.11330937
525	3.111429817
526	3.105246812
527	3.103841031
528	3.099390717
529	3.09610056
530	3.091159729
531	3.0871871
532	3.082708122
533	3.074622173
534	3.071648261
535	3.068276553
536	3.063610533
537	3.055056863
538	3.050761499
539	3.04680545
540	3.041707954
541	3.039643851
542	3.0377577
543	3.0344072
544	3.032651153
545	3.026470736
546	3.022294856
547	3.018848255
548	3.017729333
549	3.016543899
550	3.012007848
551	3.008746916
552	3.007501866
553	3.004293794
554	3.00301997
555	2.998149196
556	2.993816231
557	2.992467527
558	2.989623544
559	2.986975518
560	2.984389098
561	2.98274695
562	2.981075111
563	2.977803326
564	2.973460857
565	2.971910279
566	2.96908062
567	2.964652168
568	2.961695695
569	2.956756793
570	2.953507381
571	2.949638136
572	2.946665416
573	2.945503017
574	2.943800241
575	2.940078546
576	2.937231048
577	2.930047687
578	2.925563888
579	2.919750518
580	2.918198786
581	2.915590899
582	2.911392412
583	2.907416164
584	2.901302784
585	2.90017681
586	2.892708112
587	2.890012693
588	2.887082173
589	2.88616132
590	2.88203203
591	2.879390421
592	2.877157881
593	2.875934709
594	2.869403226
595	2.864520985
596	2.860811501
597	2.859637845
598	2.858167418
599	2.852987829
600	2.848185698
601	2.847041932
602	2.84648608
603	2.843429898
604	2.838975622
605	2.832527748
606	2.827963295
607	2.825900736
608	2.821977928
609	2.814912104
610	2.810722781
611	2.806729873
612	2.805264455
613	2.801727252
614	2.799424557
615	2.798061325
616	2.793702114
617	2.790019713
618	2.787095853
619	2.780921276
620	2.776889545
621	2.7736097
622	2.768866803
623	2.767845848
624	2.764563873
625	2.762556044
626	2.759988566
627	2.758147927
628	2.756732115
629	2.754378515
630	2.752054366
631	2.748712396
632	2.745188223
633	2.743982997
634	2.741674587
635	2.739599915
636	2.738562917
637	2.738011823
638	2.736684968
639	2.73547617
640	2.734246143
641	2.733012634
642	2.730536962
643	2.727914461
644	2.725524403
645	2.724406507
646	2.72120996
647	2.715135022
648	2.713415208
649	2.710522232
650	2.706595692
651	2.704832792
652	2.703676288
653	2.698012674
654	2.696731778
655	2.693787524
656	2.689839611
657	2.686802968
658	2.681824626
659	2.677198311
660	2.674666552
661	2.670703001
662	2.667198698
663	2.66545853
664	2.662836002
665	2.661719608
666	2.660675027
667	2.657715897
668	2.654327115
669	2.650718974
670	2.647350152
671	2.642621669
672	2.639229009
673	2.63601388
674	2.633905311
675	2.631109606
676	2.626246621
677	2.623202424
678	2.619891085
679	2.616324915
680	2.613573476
681	2.611999818
682	2.608741316
683	2.606179625
684	2.604870069
685	2.602084205
686	2.599761401
687	2.59766961
688	2.59315057
689	2.589256181
690	2.586915287
691	2.586231008
692	2.583925967
693	2.581109933
694	2.579231425
695	2.575974884
696	2.575191603
697	2.574142517
698	2.571858399
699	2.570777642
700	2.568847743
701	2.565928789
702	2.562174135
703	2.560244569
704	2.557964462
705	2.55698954
706	2.554904232
707	2.549315997
708	2.54612962
709	2.542194234
710	2.540868747
711	2.53902863
712	2.535358612
713	2.533208727
714	2.530955319
715	2.528351626
716	2.527471098
717	2.526106636
718	2.523928937
719	2.522847535
720	2.522021832
721	2.519355346
722	2.517666668
723	2.515286667
724	2.509071942
725	2.507954685
726	2.506170356
727	2.502201476
728	2.49772393
729	2.493804152
730	2.492812183
731	2.490556334
732	2.484748317
733	2.483061497
734	2.481997426
735	2.480006169
736	2.476851708
737	2.475231209
738	2.472876554
739	2.471893749
740	2.469513054
741	2.468176712
742	2.466500507
743	2.462527645
744	2.460890805
745	2.458258219
746	2.45515558
747	2.452154415
748	2.449340234
749	2.447827866
750	2.447467384
751	2.445411599
752	2.444664131
753	2.443137008
754	2.442467272
755	2.438993639
756	2.437924448
757	2.433746338
758	2.431241921
759	2.430083804
760	2.429149289
761	2.426596053
762	2.425002229
763	2.422832942
764	2.419861971
765	2.417869395
766	2.415695548
767	2.411784728
768	2.410816667
769	2.407925363
770	2.405739795
771	2.402292473
772	2.399774459
773	2.397636222
774	2.396567183
775	2.39295756
776	2.392275801
777	2.389165798
778	2.385334993
779	2.384124564
780	2.381832565
781	2.379352388
782	2.37638926
783	2.375118502
784	2.374289953
785	2.373353801
786	2.370996371
787	2.367649745
788	2.366576531
789	2.365548924
790	2.362951793
791	2.359961073
792	2.357831624
793	2.357026886
794	2.353727317
795	2.351734612
796	2.34935214
797	2.34572096
798	2.344322668
799	2.342433652
800	2.341150275
801	2.33961382
802	2.338606439
803	2.337183534
804	2.335772565
805	2.334121865
806	2.332837886
807	2.330932241
808	2.330048326
809	2.328501047
810	2.327045723
811	2.324433032
812	2.323939323
813	2.322496356
814	2.321580299
815	2.31859738
816	2.31518058
817	2.31234963
818	2.310110035
819	2.306810121
820	2.304778128
821	2.302836657
822	2.29867486
823	2.297551432
824	2.296650077
825	2.29540393
826	2.293634612
827	2.29151903
828	2.290897876
829	2.289887571
830	2.28883416
831	2.285806263
832	2.284826851
833	2.284394168
834	2.282006894
835	2.279752522
836	2.277013159
837	2.275367706
838	2.274329393
839	2.273003146
840	2.270345049
841	2.269301416
842	2.266587635
843	2.264951548
844	2.264059439
845	2.262868065
846	2.261561778
847	2.260470179
848	2.26005905
849	2.258617103
850	2.257575145
851	2.257178213
852	2.254148997
853	2.253041359
854	2.251336898
855	2.25091495
856	2.249597925
857	2.248227321
858	2.245107312
859	2.244036298
860	2.242005029
861	2.23912274
862	2.238720976
863	2.236529589
864	2.232878682
865	2.23202223
866	2.229834224
867	2.227727618
868	2.227339131
869	2.226362763
870	2.225451702
871	2.223906315
872	2.222552504
873	2.220622215
874	2.218305997
875	2.21562375
876	2.212180085
877	2.210273071
878	2.207821923
879	2.206852579
880	2.204524405
881	2.203533678
882	2.202708267
883	2.200749398
884	2.198784322
885	2.197971393
886	2.195478895
887	2.193130556
888	2.192149292
889	2.190604924
890	2.188279755
891	2.186250356
892	2.184487174
893	2.183918894
894	2.183285202
895	2.182447473
896	2.180505254
897	2.179708704
898	2.178361282
899	2.175813237
900	2.174592477
901	2.171586779
902	2.169787691
903	2.168692745
904	2.167380924
905	2.167026049
906	2.165853709
907	2.164635484
908	2.164287639
909	2.161461357
910	2.161163312
911	2.160349533
912	2.158033237
913	2.156194492
914	2.154482283
915	2.153660783
916	2.153000366
917	2.152719698
918	2.15166773
919	2.149447671
920	2.146206185
921	2.144111889
922	2.142944657
923	2.142152766
924	2.139907578
925	2.135174612
926	2.134311893
927	2.131239018
928	2.129202015
929	2.124560501
930	2.121753228
931	2.120855587
932	2.119864634
933	2.117135927
934	2.115222439
935	2.114461955
936	2.112205905
937	2.110854894
938	2.108921964
939	2.106943385
940	2.106415162
941	2.105715381
942	2.104670716
943	2.100502676
944	2.097650066
945	2.096281129
946	2.093085948
947	2.091220418
948	2.090485874
949	2.089045759
950	2.086962279
951	2.084114711
952	2.08207169
953	2.080551285
954	2.08027558
955	2.077638288
956	2.076925815
957	2.076738677
958	2.074768288
959	2.072826962
960	2.071786362
961	2.070337503
962	2.06928657
963	2.068508042
964	2.064745263
965	2.06344305
966	2.062942976
967	2.062484516
968	2.059998531
969	2.058726465
970	2.057479373
971	2.055543734
972	2.053082071
973	2.050685669
974	2.048803515
975	2.048639852
976	2.048217635
977	2.047071939
978	2.046153445
979	2.044478019
980	2.044018025
981	2.042528132
982	2.041376442
983	2.038551866
984	2.037254728
985	2.03620346
986	2.035837068
987	2.033756436
988	2.031981202
989	2.031055222
990	2.028369417
991	2.026753556
992	2.025422832
993	2.021044213
994	2.01884331
995	2.018048745
996	2.016815039
997	2.014204584
998	2.013922056
999	2.0120982
